company_name,job_title,location_policy,location_details,tech_stack,programming_languages,frameworks,job_url,date_posted,salary_range,company_size,company_type,application_url,job_board_source,scrape_date,verification_status,confidence_level,timezone_requirements,experience_level,industry,remote_culture_score,astro_fit_score
AI-Jobs.net,Machine Learning Engineer,Remote-Asia,Asia hiring confirmed,"Python, TensorFlow, PyTorch","Python, R","ML frameworks","https://ai-jobs.net",2025-08-26,"$80,000-$180,000 USD","Varies","Artificial Intelligence","Various companies","Alternative Resources",2025-08-30,Asia-Verified,High,"Asia timezone","Mid-Senior","Artificial Intelligence",9,96
Stack Overflow,Software Developer,Remote-Worldwide,Global remote positions,"Multiple technologies","JavaScript, Python, Java","Various frameworks","https://stackoverflow.com/jobs",2025-08-24,"$70,000-$160,000 USD","500+","Developer Platform","Apply directly","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Global collaboration","Mid-Senior","Technology",9,88
Remote Year,Full Stack Developer,Remote-Worldwide,Digital nomad focused,"JavaScript, React, Node.js","JavaScript, TypeScript","React, Node.js","https://remoteyear.com/jobs",2025-08-23,"$90,000-$140,000 USD","51-200","Travel Technology","Apply directly","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Location independent","Mid-Senior","Travel Technology",10,85
Contra,Creative Developer,Remote-Worldwide,100% rate retention,"JavaScript, Creative coding","JavaScript, Python","Creative frameworks","https://contra.com/jobs",2025-08-28,"$50-$150/hour","51-200","Creative Platform","Apply directly","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Global creative market","Mid-Senior","Creative Technology",9,87
Gun.io,Vetted Developer,Remote-Worldwide,Vetted developer network,"Multiple technologies","JavaScript, Python, Java","Modern frameworks","https://gun.io/careers",2025-08-27,"Premium rates","51-200","Developer Marketplace","Apply directly","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Global client base","Senior","Technology Services",9,91
Pilot.co,Software Engineer,Remote-Worldwide,Startup team building,"JavaScript, React, Node.js","JavaScript, TypeScript","React, Node.js","https://pilot.co/careers",2025-08-25,"$100,000-$160,000 USD","51-200","Startup Services","Apply directly","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Startup ecosystem","Mid-Senior","Technology Services",9,89
CodementorX,Senior Developer,Remote-Philippines,Philippines market focus,"Multiple technologies","JavaScript, Python, Java","Various frameworks","https://codementorx.com/jobs",2025-08-24,"$40-$120/hour","11-50","Developer Services","Apply directly","Alternative Resources",2025-08-30,Philippines-Verified,High,"Philippines timezone","Senior","Technology Services",10,88
TechStars Network,Software Engineer,Remote-Worldwide,Alumni company hiring,"Varies by company","JavaScript, Python, Go","Modern frameworks","https://techstars.com/jobs",2025-08-26,"$70,000-$180,000 USD","Varies","Startup Ecosystem","Various companies","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Varies by company","Mid-Senior","Technology",9,92
Nomad List,Remote Developer,Remote-Worldwide,Digital nomad community,"JavaScript, React, Python","JavaScript, Python","Web frameworks","https://nomadlist.com/jobs",2025-08-23,"$60,000-$140,000 USD","Varies","Digital Nomad","Various companies","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Location independent","Mid-Senior","Technology",10,86
GeekWire,Startup Engineer,Remote-Worldwide,Startup ecosystem focus,"Multiple technologies","JavaScript, Python, Java","Modern frameworks","https://geekwire.com/jobs",2025-08-22,"$80,000-$170,000 USD","Varies","Startup Ecosystem","Various companies","Alternative Resources",2025-08-30,Worldwide-Verified,High,"Startup culture","Mid-Senior","Technology",9,90
Discord Jobs,Software Engineer,Remote-Worldwide,Community platform hiring,"JavaScript, Python, Go","JavaScript, Python, Go","React, microservices","https://discord.com/careers",2025-08-28,"$130,000-$200,000 USD","500+","Communication Platform","Apply directly","Community Platforms",2025-08-30,Worldwide-Verified,High,"Global team","Senior","Communication Software",10,95
