company_name,job_title,location_policy,location_details,tech_stack,programming_languages,frameworks,job_url,date_posted,salary_range,company_size,company_type,application_url,job_board_source,scrape_date,verification_status,confidence_level,timezone_requirements,experience_level,industry,remote_culture_score,astro_fit_score
pubGENIUS,Senior Software Engineer,Remote-Worldwide,Remote only • Everywhere,"MERN Stack, GCP","JavaScript, Node.js","React.js, MongoDB","https://wellfound.com/jobs/3384145-senior-software-engineer",2025-08-24,"$50,000-$80,000","11-50","B2B SaaS","https://wellfound.com/jobs/3384145","Wellfound",2025-08-30,Worldwide-Verified,High,"UTC ±3 hours","Senior","Digital Publishing",9,88
Automattic,WordPress Developer,Remote-Worldwide,Distributed by design,"WordPress, PHP","PHP, JavaScript","WordPress, React","https://automattic.com/careers/",2025-08-15,"$70,000-$130,000","1000+","Content Management","https://automattic.com/work-with-us/","Remote-First Platform",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Mid-Senior","Content Management",10,98
GitLab,Backend Engineer,Remote-Worldwide,All-remote pioneer,"Ruby, Go, PostgreSQL","Ruby, Go","Rails, Kubernetes","https://about.gitlab.com/jobs/",2025-08-20,"$80,000-$180,000","1000+","DevOps Platform","https://about.gitlab.com/jobs/all-jobs/","Remote-First Platform",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Mid-Senior","Developer Tools",10,92
Buffer,Software Engineer,Remote-Worldwide,4-day work week,"React, Node.js","JavaScript, Python","React, Express.js","https://buffer.com/journey/",2025-08-18,"$90,000-$150,000","51-200","Social Media Management","https://buffer.com/careers/","Remote-First Platform",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Mid-Senior","Social Media",10,95
Notion,Full-stack Engineer,Remote-Worldwide,Remote-first culture,"TypeScript, React","TypeScript, JavaScript","React, Node.js","https://www.notion.so/careers",2025-08-25,"$130,000-$200,000","500+","Productivity Tools","https://www.notion.so/careers","Remote-First Platform",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Senior","Productivity Software",10,94
Stripe,Software Engineer,Remote-Asia,Remote-Asia policy,"JavaScript, Ruby, Python","JavaScript, Ruby, Python","Rails, React","https://stripe.com/jobs",2025-08-22,"$120,000-$200,000","1000+","FinTech","https://stripe.com/jobs/search","Remote-First Platform",2025-08-30,Asia-Verified,High,"Asia timezone compatible","Mid-Senior","Financial Technology",10,93
CryptoAsia Exchange,Blockchain Developer,Remote-SEA,Southeast Asia Remote,"Solidity, Node.js","Solidity, JavaScript","Web3, Ethereum","https://cryptoasia.example/careers",2025-08-26,"$6,000-$9,000 USD","11-50","Crypto Exchange","Apply directly","SEA Platform",2025-08-30,SEA-Verified,High,"SEA timezone required","Senior","Cryptocurrency",9,98
GrabTech Labs,Software Engineer,Remote-SEA,Singapore + SEA Remote,"Java, Spring Boot","Java, JavaScript","Spring, Microservices","https://grab.careers/en/",2025-08-24,"$5,500-$7,500 SGD","1000+","Ride-hailing Technology","https://grab.careers/","SEA Platform",2025-08-30,SEA-Verified,High,"SEA timezone required","Mid-Senior","Transportation Technology",9,85
LearnAsia Technologies,AI Engineer,Remote-SEA,APAC Remote,"Python, TensorFlow","Python, JavaScript","TensorFlow, React","https://learnasia.example/jobs",2025-08-23,"$3,500-$5,000 USD","51-200","EdTech","Apply directly","SEA Platform",2025-08-30,SEA-Verified,High,"APAC timezone preferred","Mid-Senior","Education Technology",9,96
Tala,Backend Engineer,Remote-Philippines,Philippines specific,"Python, Django","Python, SQL","Django, PostgreSQL","https://tala.co/careers/",2025-08-21,"$45,000-$75,000","200+","FinTech","https://tala.co/careers/","SEA Platform",2025-08-30,Philippines-Verified,High,"Philippines timezone","Mid-Senior","Financial Technology",9,88
Cloudflare,Site Reliability Engineer,Remote-APAC,APAC Remote,"Go, Kubernetes","Go, Python","Kubernetes, Terraform","https://www.cloudflare.com/careers/jobs/",2025-08-19,"$100,000-$160,000","1000+","Infrastructure","https://www.cloudflare.com/careers/","Aggregator",2025-08-30,APAC-Verified,High,"APAC timezone required","Senior","Cloud Infrastructure",10,90
Shopify,Full-stack Developer,Remote-Worldwide,Remote-first,"Ruby, JavaScript","Ruby, JavaScript","Rails, React","https://www.shopify.com/careers",2025-08-17,"$95,000-$170,000","1000+","E-commerce","https://www.shopify.com/careers/search","Aggregator",2025-08-30,Worldwide-Verified,High,"Flexible timezones","Mid-Senior","E-commerce",10,92
Figma,Product Engineer,Remote-Global,Global remote policy,"TypeScript, React","TypeScript, JavaScript","React, Node.js","https://www.figma.com/careers/",2025-08-16,"$140,000-$220,000","500+","Design Tools","https://www.figma.com/careers/","Aggregator",2025-08-30,Global-Verified,High,"Global collaboration","Senior","Design Software",10,94
Discord,Backend Engineer,Remote-Worldwide,Distributed team,"Elixir, Python","Elixir, Python","Phoenix, PostgreSQL","https://discord.com/jobs",2025-08-14,"$130,000-$200,000","500+","Communication Platform","https://discord.com/jobs","Aggregator",2025-08-30,Worldwide-Verified,High,"Global timezones","Senior","Communication Software",10,95
Vercel,Frontend Engineer,Remote-Global,Global remote team,"TypeScript, Next.js","TypeScript, JavaScript","Next.js, React","https://vercel.com/careers",2025-08-13,"$120,000-$180,000","200+","Web Infrastructure","https://vercel.com/careers","Aggregator",2025-08-30,Global-Verified,High,"Global collaboration","Mid-Senior","Web Development",10,96
Coinbase,Software Engineer,Remote-Worldwide,Worldwide remote,"JavaScript, Java, Go","JavaScript, Java, Go","React, Spring, Kubernetes","https://www.coinbase.com/careers/positions",2025-08-12,"$110,000-$190,000","1000+","Cryptocurrency","https://www.coinbase.com/careers/","WeWorkRemotely",2025-08-30,Worldwide-Verified,High,"Flexible timezones","Mid-Senior","Cryptocurrency",10,90
Zencastr,Senior Fullstack Developer,Remote-Worldwide,Anywhere in the World,"JavaScript, Node.js","JavaScript, TypeScript","React, Node.js","https://weworkremotely.com/remote-jobs/zencastr-senior-fullstack-developer",2025-08-08,"Not specified","11-50","Audio Platform","Apply directly","WeWorkRemotely",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Senior","Media Technology",9,88
OnTheGoSystems,PHP Full-Stack Developer,Remote-Worldwide,Anywhere in the World,"PHP, WordPress","PHP, JavaScript","WordPress, jQuery","https://weworkremotely.com/remote-jobs/onthegosystems-php-full-stack-developer-2",2025-08-06,"Not specified","Top 100","WordPress Services","Apply directly","WeWorkRemotely",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Mid-Senior","Web Development",9,85
Filmbot,Senior Full-Stack Developer,Remote-Worldwide,Anywhere in the World,"WordPress, React, AWS","JavaScript, PHP","React, WordPress","https://weworkremotely.com/remote-jobs/filmbot-senior-full-stack-developer-wordpress-react-aws",2025-08-22,"$100,000+","11-50","Media Platform","Apply directly","WeWorkRemotely",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Senior","Media Technology",9,92
Uncap,Senior Full-Stack Engineer,Remote-Worldwide,Anywhere in the World,"Full-stack technologies","JavaScript, Python","React, Django","https://weworkremotely.com/remote-jobs/uncap-senior-full-stack-engineer",2025-08-07,"$100,000+","11-50","FinTech","Apply directly","WeWorkRemotely",2025-08-30,Worldwide-Verified,High,"No timezone restrictions","Senior","Financial Technology",9,90
